,dateTime,stationName,tideValue
163,2021-09-20T01:00:00Z,Lerwick,0.092
164,2021-09-20T01:00:00Z,Newlyn,-0.28
165,2021-09-20T01:00:00Z,Milford+Haven,-2.079
166,2021-09-20T01:00:00Z,Aberdeen,1.986
167,2021-09-20T01:00:00Z,Weymouth,-0.562
168,2021-09-20T01:00:00Z,Ilfracombe,-2.335
169,2021-09-20T01:00:00Z,Stornoway,-1.75
170,2021-09-20T01:00:00Z,Plymouth,-0.922
171,2021-09-20T01:00:00Z,Jersey,-3.891
172,2021-09-20T01:00:00Z,Tobermory,-0.942
173,2021-09-20T01:00:00Z,Ullapool,-1.698
174,2021-09-20T01:00:00Z,Newport,-4.975
175,2021-09-20T01:00:00Z,Heysham,1.361
176,2021-09-20T01:00:00Z,Avonmouth+Portbury,-4.916
177,2021-09-20T01:00:00Z,Mumbles,-2.858
178,2021-09-20T01:00:00Z,Leith,2.38
179,2021-09-20T01:00:00Z,North+Shields,1.843
180,2021-09-20T01:00:00Z,Liverpool,1.154
181,2021-09-20T01:00:00Z,Holyhead,-0.446
182,2021-09-20T01:00:00Z,Millport,1.284
183,2021-09-20T01:00:00Z,Immingham,-0.925
184,2021-09-20T01:00:00Z,Cromer,-1.321
185,2021-09-20T01:00:00Z,Whitby,1.595
186,2021-09-20T01:00:00Z,Fishguard,-1.364
187,2021-09-20T01:00:00Z,Workington,1.585
188,2021-09-20T01:00:00Z,Port+Erin,0.74
189,2021-09-20T01:00:00Z,Harwich,0.81
190,2021-09-20T01:00:00Z,Barmouth,-1.207
191,2021-09-20T01:00:00Z,Newhaven,0.855
192,2021-09-20T01:00:00Z,Portrush,-0.691
193,2021-09-20T01:00:00Z,Sheerness,2.353
194,2021-09-20T01:00:00Z,Portpatrick,1.096
195,2021-09-20T01:00:00Z,Portsmouth,1.078
196,2021-09-20T01:00:00Z,Bournemouth,0.01
197,2021-09-20T00:45:00Z,Portpatrick,1.285
198,2021-09-20T01:15:00Z,Dover,1.038
199,2021-09-20T01:15:00Z,St+Marys,0.062
200,2021-09-20T01:15:00Z,Lowestoft,-0.287
201,2021-09-20T01:15:00Z,Lerwick,-0.009
202,2021-09-20T01:15:00Z,Newlyn,0.005
203,2021-09-20T01:15:00Z,Milford+Haven,-1.848
204,2021-09-20T01:15:00Z,Aberdeen,1.909
205,2021-09-20T01:15:00Z,Weymouth,-0.589
206,2021-09-20T01:15:00Z,Ilfracombe,-1.985
207,2021-09-20T01:15:00Z,Kinlochbervie,-1.711
208,2021-09-20T01:15:00Z,Plymouth,-0.626
209,2021-09-20T01:15:00Z,Jersey,-3.665
210,2021-09-20T01:15:00Z,Tobermory,-0.773
211,2021-09-20T01:15:00Z,Ullapool,-1.593
212,2021-09-20T01:15:00Z,Newport,-5.091
213,2021-09-20T01:15:00Z,Wick,0.485
214,2021-09-20T01:15:00Z,Avonmouth+Portbury,-5.058
215,2021-09-20T01:15:00Z,Mumbles,-2.566
216,2021-09-20T01:15:00Z,Leith,2.465
217,2021-09-20T01:15:00Z,North+Shields,2.005
218,2021-09-20T01:15:00Z,Holyhead,-0.721
219,2021-09-20T01:15:00Z,Millport,1.128
220,2021-09-20T01:15:00Z,Immingham,-0.613
221,2021-09-20T01:15:00Z,Cromer,-1.218
222,2021-09-20T01:15:00Z,Whitby,1.8
223,2021-09-20T01:15:00Z,Fishguard,-1.364
224,2021-09-20T01:15:00Z,Workington,1.191
225,2021-09-20T01:15:00Z,Port+Erin,0.45
226,2021-09-20T01:15:00Z,Harwich,0.642
227,2021-09-20T01:15:00Z,Barmouth,-1.324
228,2021-09-20T01:15:00Z,Newhaven,0.542
229,2021-09-20T01:15:00Z,Portrush,-0.645
230,2021-09-20T01:15:00Z,Sheerness,2.099
231,2021-09-20T01:15:00Z,Portpatrick,0.905
232,2021-09-20T01:15:00Z,Portsmouth,0.843
233,2021-09-20T01:15:00Z,Bournemouth,-0.145
234,2021-09-20T01:00:00Z,Kinlochbervie,-1.741
235,2021-09-20T01:00:00Z,Wick,0.669
236,2021-09-20T01:30:00Z,Bangor,-0.051
237,2021-09-20T01:30:00Z,Dover,0.763
238,2021-09-20T01:30:00Z,St+Marys,0.341
239,2021-09-20T01:30:00Z,Lowestoft,-0.343
240,2021-09-20T01:30:00Z,Lerwick,-0.105
241,2021-09-20T01:30:00Z,Newlyn,0.323
242,2021-09-20T01:30:00Z,Milford+Haven,-1.568
243,2021-09-20T01:30:00Z,Aberdeen,1.816
244,2021-09-20T01:30:00Z,Weymouth,-0.615
245,2021-09-20T01:30:00Z,Ilfracombe,-1.623
246,2021-09-20T01:30:00Z,Kinlochbervie,-1.607
247,2021-09-20T01:30:00Z,Stornoway,-1.546
248,2021-09-20T01:30:00Z,Plymouth,-0.326
249,2021-09-20T01:30:00Z,Jersey,-3.365
250,2021-09-20T01:30:00Z,Tobermory,-0.593
251,2021-09-20T01:30:00Z,Ullapool,-1.473
252,2021-09-20T01:30:00Z,Newport,-4.991
253,2021-09-20T01:30:00Z,Heysham,0.392
254,2021-09-20T01:30:00Z,Wick,0.309
255,2021-09-20T01:30:00Z,Avonmouth+Portbury,-5.064
256,2021-09-20T01:30:00Z,Mumbles,-2.234
257,2021-09-20T01:30:00Z,Leith,2.518
258,2021-09-20T01:30:00Z,North+Shields,2.152
259,2021-09-20T01:30:00Z,Liverpool,0.327
260,2021-09-20T01:30:00Z,Holyhead,-0.99
261,2021-09-20T01:30:00Z,Millport,0.959
262,2021-09-20T01:30:00Z,Immingham,-0.3
263,2021-09-20T01:30:00Z,Cromer,-1.083
264,2021-09-20T01:30:00Z,Whitby,1.969
265,2021-09-20T01:30:00Z,Fishguard,-1.336
266,2021-09-20T01:30:00Z,Workington,0.793
267,2021-09-20T01:30:00Z,Port+Erin,0.147
268,2021-09-20T01:30:00Z,Harwich,0.481
269,2021-09-20T01:30:00Z,Barmouth,-1.412
270,2021-09-20T01:30:00Z,Newhaven,0.21
271,2021-09-20T01:30:00Z,Portrush,-0.604
272,2021-09-20T01:30:00Z,Sheerness,1.821
273,2021-09-20T01:30:00Z,Portpatrick,0.702
274,2021-09-20T01:30:00Z,Portsmouth,0.573
275,2021-09-20T01:30:00Z,Bournemouth,-0.306
276,2021-09-20T01:15:00Z,Stornoway,-1.667
277,2021-09-20T01:15:00Z,Heysham,0.887
278,2021-09-20T01:15:00Z,Bangor,0.132
279,2021-09-20T01:15:00Z,Liverpool,0.74
280,2021-09-20T01:45:00Z,Bangor,-0.234
281,2021-09-20T01:45:00Z,Dover,0.489
282,2021-09-20T01:45:00Z,St+Marys,0.629
283,2021-09-20T01:45:00Z,Lowestoft,-0.386
284,2021-09-20T01:45:00Z,Lerwick,-0.192
285,2021-09-20T01:45:00Z,Newlyn,0.639
286,2021-09-20T01:45:00Z,Milford+Haven,-1.259
287,2021-09-20T01:45:00Z,Aberdeen,1.707
288,2021-09-20T01:45:00Z,Weymouth,-0.651
289,2021-09-20T01:45:00Z,Ilfracombe,-1.216
290,2021-09-20T01:45:00Z,Kinlochbervie,-1.564
291,2021-09-20T01:45:00Z,Stornoway,-1.416
292,2021-09-20T01:45:00Z,Plymouth,-0.044
293,2021-09-20T01:45:00Z,Jersey,-2.993
294,2021-09-20T01:45:00Z,Tobermory,-0.406
295,2021-09-20T01:45:00Z,Ullapool,-1.361
296,2021-09-20T01:45:00Z,Newport,-4.435
297,2021-09-20T01:45:00Z,Heysham,-0.095
298,2021-09-20T01:45:00Z,Wick,0.116
299,2021-09-20T01:45:00Z,Avonmouth+Portbury,-4.772
300,2021-09-20T01:45:00Z,Mumbles,-1.859
301,2021-09-20T01:45:00Z,Leith,2.546
302,2021-09-20T01:45:00Z,North+Shields,2.272
303,2021-09-20T01:45:00Z,Liverpool,-0.088
304,2021-09-20T01:45:00Z,Holyhead,-1.233
305,2021-09-20T01:45:00Z,Millport,0.78
306,2021-09-20T01:45:00Z,Immingham,0.016
307,2021-09-20T01:45:00Z,Cromer,-0.913
308,2021-09-20T01:45:00Z,Whitby,2.128
309,2021-09-20T01:45:00Z,Fishguard,-1.287
310,2021-09-20T01:45:00Z,Workington,0.394
311,2021-09-20T01:45:00Z,Port+Erin,-0.139
312,2021-09-20T01:45:00Z,Harwich,0.327
313,2021-09-20T01:45:00Z,Barmouth,-1.488
314,2021-09-20T01:45:00Z,Newhaven,-0.123
315,2021-09-20T01:45:00Z,Portrush,-0.579
316,2021-09-20T01:45:00Z,Sheerness,1.532
317,2021-09-20T01:45:00Z,Portsmouth,0.278
318,2021-09-20T01:45:00Z,Bournemouth,-0.457
319,2021-09-20T02:00:00Z,Dover,0.216
320,2021-09-20T02:00:00Z,St+Marys,0.906
321,2021-09-20T02:00:00Z,Lowestoft,-0.419
322,2021-09-20T02:00:00Z,Lerwick,-0.282
323,2021-09-20T02:00:00Z,Newlyn,0.937
324,2021-09-20T02:00:00Z,Milford+Haven,-0.93
325,2021-09-20T02:00:00Z,Aberdeen,1.569
326,2021-09-20T02:00:00Z,Weymouth,-0.671
327,2021-09-20T02:00:00Z,Ilfracombe,-0.774
328,2021-09-20T02:00:00Z,Kinlochbervie,-1.414
329,2021-09-20T02:00:00Z,Plymouth,0.238
330,2021-09-20T02:00:00Z,Jersey,-2.558
331,2021-09-20T02:00:00Z,Tobermory,-0.194
332,2021-09-20T02:00:00Z,Ullapool,-1.218
333,2021-09-20T02:00:00Z,Newport,-3.86
334,2021-09-20T02:00:00Z,Wick,-0.044
335,2021-09-20T02:00:00Z,Avonmouth+Portbury,-4.225
336,2021-09-20T02:00:00Z,Mumbles,-1.442
337,2021-09-20T02:00:00Z,Leith,2.54
338,2021-09-20T02:00:00Z,North+Shields,2.354
339,2021-09-20T02:00:00Z,Holyhead,-1.464
340,2021-09-20T02:00:00Z,Millport,0.592
341,2021-09-20T02:00:00Z,Immingham,0.339
342,2021-09-20T02:00:00Z,Llandudno,-1.182
343,2021-09-20T02:00:00Z,Cromer,-0.693
344,2021-09-20T02:00:00Z,Whitby,2.277
345,2021-09-20T02:00:00Z,Fishguard,-1.207
346,2021-09-20T02:00:00Z,Workington,-0.009
347,2021-09-20T02:00:00Z,Port+Erin,-0.43
348,2021-09-20T02:00:00Z,Harwich,0.176
349,2021-09-20T02:00:00Z,Barmouth,-1.553
350,2021-09-20T02:00:00Z,Newhaven,-0.444
351,2021-09-20T02:00:00Z,Portrush,-0.538
352,2021-09-20T02:00:00Z,Sheerness,1.232
353,2021-09-20T02:00:00Z,Portpatrick,0.275
354,2021-09-20T02:00:00Z,Portsmouth,-0.033
355,2021-09-20T02:00:00Z,Bournemouth,-0.597
356,2021-09-20T00:15:00Z,Llandudno,1.598
357,2021-09-20T01:00:00Z,Llandudno,0.381
358,2021-09-20T00:00:00Z,Llandudno,1.968
359,2021-09-20T01:45:00Z,Portpatrick,0.493
360,2021-09-20T00:30:00Z,Llandudno,1.203
361,2021-09-20T01:30:00Z,Llandudno,-0.436
362,2021-09-20T01:15:00Z,Llandudno,-0.037
363,2021-09-20T00:45:00Z,Llandudno,0.795
364,2021-09-20T01:45:00Z,Llandudno,-0.822
365,2021-09-20T02:15:00Z,Bangor,-0.609
366,2021-09-20T02:15:00Z,Dover,-0.054
367,2021-09-20T02:15:00Z,St+Marys,1.166
368,2021-09-20T02:15:00Z,Lowestoft,-0.451
369,2021-09-20T02:15:00Z,Lerwick,-0.379
370,2021-09-20T02:15:00Z,Newlyn,1.212
371,2021-09-20T02:15:00Z,Milford+Haven,-0.602
372,2021-09-20T02:15:00Z,Aberdeen,1.418
373,2021-09-20T02:15:00Z,Weymouth,-0.674
374,2021-09-20T02:15:00Z,Ilfracombe,-0.312
375,2021-09-20T02:15:00Z,Kinlochbervie,-1.252
376,2021-09-20T02:15:00Z,Stornoway,-1.071
377,2021-09-20T02:15:00Z,Plymouth,0.491
378,2021-09-20T02:15:00Z,Jersey,-2.068
379,2021-09-20T02:15:00Z,Tobermory,0.017
380,2021-09-20T02:15:00Z,Ullapool,-1.02
381,2021-09-20T02:15:00Z,Newport,-3.205
382,2021-09-20T02:15:00Z,Heysham,-1.019
383,2021-09-20T02:15:00Z,Wick,-0.223
384,2021-09-20T02:15:00Z,Avonmouth+Portbury,-3.608
385,2021-09-20T02:15:00Z,Mumbles,-0.988
386,2021-09-20T02:15:00Z,Leith,2.495
387,2021-09-20T02:15:00Z,North+Shields,2.407
388,2021-09-20T02:15:00Z,Liverpool,-0.864
389,2021-09-20T02:15:00Z,Holyhead,-1.666
390,2021-09-20T02:15:00Z,Millport,0.401
391,2021-09-20T02:15:00Z,Immingham,0.664
392,2021-09-20T02:15:00Z,Llandudno,-1.52
393,2021-09-20T02:15:00Z,Cromer,-0.436
394,2021-09-20T02:15:00Z,Whitby,2.399
395,2021-09-20T02:15:00Z,Fishguard,-1.099
396,2021-09-20T02:15:00Z,Workington,-0.403
397,2021-09-20T02:15:00Z,Port+Erin,-0.712
398,2021-09-20T02:15:00Z,Harwich,0.025
399,2021-09-20T02:15:00Z,Barmouth,-1.609
400,2021-09-20T02:15:00Z,Newhaven,-0.756
401,2021-09-20T02:15:00Z,Portrush,-0.48
402,2021-09-20T02:15:00Z,Sheerness,0.932
403,2021-09-20T02:15:00Z,Portpatrick,0.052
404,2021-09-20T02:15:00Z,Portsmouth,-0.358
405,2021-09-20T02:15:00Z,Bournemouth,-0.71
406,2021-09-20T02:00:00Z,Heysham,-0.571
407,2021-09-20T02:00:00Z,Stornoway,-1.25
408,2021-09-20T02:00:00Z,Bangor,-0.422
409,2021-09-20T02:00:00Z,Liverpool,-0.485
410,2021-09-20T02:30:00Z,Bangor,-0.797
411,2021-09-20T02:30:00Z,Dover,-0.329
412,2021-09-20T02:30:00Z,St+Marys,1.412
413,2021-09-20T02:30:00Z,Lowestoft,-0.474
414,2021-09-20T02:30:00Z,Lerwick,-0.472
415,2021-09-20T02:30:00Z,Newlyn,1.462
416,2021-09-20T02:30:00Z,Milford+Haven,-0.255
417,2021-09-20T02:30:00Z,Aberdeen,1.251
418,2021-09-20T02:30:00Z,Weymouth,-0.653
419,2021-09-20T02:30:00Z,Ilfracombe,0.176
420,2021-09-20T02:30:00Z,Kinlochbervie,-1.05
421,2021-09-20T02:30:00Z,Stornoway,-0.855
422,2021-09-20T02:30:00Z,Plymouth,0.711
423,2021-09-20T02:30:00Z,Jersey,-1.522
424,2021-09-20T02:30:00Z,Tobermory,0.245
425,2021-09-20T02:30:00Z,Ullapool,-0.79
426,2021-09-20T02:30:00Z,Newport,-2.541
427,2021-09-20T02:30:00Z,Heysham,-1.423
428,2021-09-20T02:30:00Z,Wick,-0.381
429,2021-09-20T02:30:00Z,Avonmouth+Portbury,-3.013
430,2021-09-20T02:30:00Z,Mumbles,-0.494
431,2021-09-20T02:30:00Z,Leith,2.411
432,2021-09-20T02:30:00Z,North+Shields,2.43
433,2021-09-20T02:30:00Z,Liverpool,-1.21
434,2021-09-20T02:30:00Z,Holyhead,-1.858
435,2021-09-20T02:30:00Z,Millport,0.195
436,2021-09-20T02:30:00Z,Immingham,0.998
437,2021-09-20T02:30:00Z,Cromer,-0.14
438,2021-09-20T02:30:00Z,Whitby,2.504
439,2021-09-20T02:30:00Z,Fishguard,-0.969
440,2021-09-20T02:30:00Z,Workington,-0.781
441,2021-09-20T02:30:00Z,Port+Erin,-0.983
442,2021-09-20T02:30:00Z,Harwich,-0.127
443,2021-09-20T02:30:00Z,Barmouth,-1.651
